"INTERNAL_ID","VETTING_LEVEL","NAME","BIRTH_DATE","OCCUPATION","PASSPORT_COUNTRY","COUNTRIES_VISITED","COUNTRY_1","COUNTRY_2","COUNTRY_3","COUNTRIES_VISITED_COUNT","AGE","VETTING_LEVEL_DESC","ARRIVAL_AIRPORT_STATE","DEPARTURE_AIRPORT_IATA","ARRIVAL_AIRPORT_MUNICIPALITY","ARRIVAL_AIRPORT_IATA","ARRIVAL_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_REGION","DEPARTURE_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_MUNICIPALITY","Category"
"810","10","Raven Jones","1985-07-19","Personal assistant","Ghana","TN,PH,SA,RU,CN,EG","TN","PH","SA","6","31","High Risk","LA","NBE","New Orleans","MSY","US","TN-51","TN","Enfidha","Other"
"813","100","Elizabeth Kathleen Hernandez","1977-10-08","Naval architect","Ghana","UZ","UZ",,,"1","39","Unvetted","IL","TAS","Chicago","ORD","US","UZ-TO","UZ","Tashkent","Government"
"816","100","Christy Wilson","1990-10-28","Engineer, electronics","Ghana","CK,UZ","CK","UZ",,"2","26","Unvetted","MD","RAR","Camp Springs","ADW","US","CK-U-A","CK","Avarua","Engineering"
"819","100","Amanda Becci Adams","1982-03-03","Psychiatric nurse","Ghana","BN,IL,NZ,QA,UY,ES,CH,PT,UA,IQ,ID","BN","IL","NZ","11","35","Unvetted","FL","BWN","Fort Lauderdale","FLL","US","BN-BM","BN","Bandar Seri Begawan","Medical"
"820","100","Cris Brown","1995-06-19","Network engineer","Ghana","NZ,OM,PE","NZ","OM","PE","3","21","Unvetted","CO","AKL","Colorado Springs","COS","US","NZ-AUK","NZ","Auckland","Engineering"
"823","100","Jesie Nani Norris","1986-10-02","Futures trader","Ghana","UZ,JM,EE,SI","UZ","JM","EE","4","30","Unvetted","AL","TAS","Mobile","MOB","US","UZ-TO","UZ","Tashkent","Finance"
"826","100","Jill Palmer","1986-10-31","Therapist, drama","Ghana","KH,MY,RU,NZ,QA","KH","MY","RU","5","30","Unvetted","MO","PNH","Springfield","SGF","US","KH-8","KH","Phnom Penh","Medical"
"829","100","Hannah Stacey Barajas","1982-11-02","Manufacturing engineer","Ghana","NL,QA,CL,SN,FR","NL","QA","CL","5","34","Unvetted","FL","EIN","Valparaiso","VPS","US","NL-NB","NL","Eindhoven","Engineering"
"830","100","Angil Gonzales","1982-06-02","Surveyor, mining","Ghana","BH,UZ,BA","BH","UZ","BA","3","34","Unvetted","MO","BAH","Springfield","SGF","US","BH-15","BH","Manama","Construction"
"833","100","Sandra Kimberly Hamilton","1989-01-31","Engineer, building services","Ghana","LT,FR,LU,UZ","LT","FR","LU","4","28","Unvetted","KY","VNO","Cincinnati","CVG","US","LT-VL","LT","Vilnius","Construction"
"836","100","Haley Jessi Barnes","1987-08-19","Journalist, newspaper","Ghana","UZ,BE,PH","UZ","BE","PH","3","29","Unvetted","WA","TAS","Spokane","GEG","US","UZ-TO","UZ","Tashkent","Journalism"
"839","100","Donna Beasley","1988-08-07","Psychologist, prison and probation services","Ghana","RU,KE,NG","RU","KE","NG","3","28","Unvetted","TX","KUF","Lubbock","LBB","US","RU-SAM","RU","Samara","Medical"
"840","100","Kellye May","1981-07-29","Programmer, applications","Ghana","IL,RU","IL","RU",,"2","35","Unvetted","CA","VDA","San Diego","SAN","US","IL-D","IL","Eilat","Information Technology"
"843","100","Amy Bradley","1983-08-28","Armed forces logistics/support/administrative officer","Ghana","BZ,AE,IN","BZ","AE","IN","3","33","Unvetted","FL","BZE","Orlando","SFB","US","BZ-BZ","BZ","Belize City","Government"
"846","100","Jessica Ross","1997-08-20","Maintenance engineer","Ghana","QA,MA,SA,CL,GH,AM","QA","MA","SA","6","19","Unvetted","OK","DOH","Oklahoma City","OKC","US","QA-DA","QA","Doha","Construction"
"849","100","Shannie Wells","1982-11-07","Location manager","Ghana","BE,VN,LK,UZ","BE","VN","LK","4","34","Unvetted","UT","CRL","Salt Lake City","SLC","US","BE-WHT","BE","Brussels","Construction"
"850","100","Holly Rogers","1995-05-27","Petroleum engineer","Ghana","JP,AE","JP","AE",,"2","21","Unvetted","SC","KOJ","Greenville","GSP","US","JP-46","JP","Kagoshima","Engineering"
"853","10","Jennifer Smith","1989-03-13","Youth worker","Ghana","BE,TW,RO,KW,RO,BZ,SN,CL,UZ,FR,TW,FI","BE","TW","RO","12","28","High Risk","GA","CRL","Atlanta","ATL","US","BE-WHT","BE","Brussels","Other"
"856","100","Cyndee Levy","1982-05-10","Teacher, music","Ghana","OM,CA","OM","CA",,"2","34","Unvetted","FL","JNJ","Orlando","SFB","US","OM-WU","OM","Duqm","Education"
"859","100","Jesie Miller","1995-01-29","Scientific laboratory technician","Ghana","PH,PK,OM","PH","PK","OM","3","22","Unvetted","NV","MNL","Las Vegas","LAS","US","PH-U-A","PH","Manila","Science"
"860","100","Gail Sanchez","1989-01-29","Sub","Ghana","OM,IS,LT","OM","IS","LT","3","28","Unvetted","WA","JNJ","Seattle","BFI","US","OM-WU","OM","Duqm","Education"
"863","100","Raven Madeline Hood","1971-09-18","Medical laboratory scientific officer","Ghana","SG,IS,AE","SG","IS","AE","3","45","Unvetted","GA","SIN","Savannah","SAV","US","SG-04","SG","Singapore","Science"
"866","30","Anna Rose","1990-12-25","Personal assistant","Ghana","OM","OM",,,"1","26","Low Risk","KY","MCT","Cincinnati","CVG","US","OM-MA","OM","Muscat","Other"
"869","100","Jul Walker","1974-05-25","Chartered management accountant","Ghana","TN,KE,SD,UZ,ID","TN","KE","SD","5","42","Unvetted","NC","NBE","Charlotte","CLT","US","TN-51","TN","Enfidha","Finance"
"870","100","Jessee Moore","1977-08-09","Public relations officer","Ghana","QA,CL,KW","QA","CL","KW","3","39","Unvetted","NC","DOH","Greensboro","GSO","US","QA-DA","QA","Doha","Government"
"873","100","Maria Amie Callahan","1970-09-03","Health service manager","Ghana","AR,AE,SE,PT,IN","AR","AE","SE","5","46","Unvetted","WA","EZE","Spokane","SKA","US","AR-B","AR","Buenos Aires","Medical"
"876","100","Tonya Moore","1979-05-12","Diagnostic radiographer","Ghana","NL,NL,QA,CU,IR","NL","NL","QA","5","37","Unvetted","TX","AMS","Lubbock","LBB","US","NL-NH","NL","Amsterdam","Medical"
"879","100","Maria Laua Woodward","1989-08-19","Diagnostic radiographer","Ghana","UZ","UZ",,,"1","27","Unvetted","NJ","TAS","Newark","EWR","US","UZ-TO","UZ","Tashkent","Medical"
"880","100","Nancy Watkins","1984-08-13","Network engineer","Ghana","UA,TH,UZ","UA","TH","UZ","3","32","Unvetted","AK","HRK","Fairbanks","FAI","US","UA-63","UA","Kharkiv","Engineering"
"883","100","Holly Jazzy Moyer","1970-08-08","Engineer, electrical","Ghana","EC,ME,UZ","EC","ME","UZ","3","46","Unvetted","TN","LTX","Chattanooga","CHA","US","EC-X","EC","Latacunga","Engineering"
"886","100","Jennifer Flores","1989-08-16","Research scientist (life sciences)","Ghana","PK,IQ,BS,HR,JM,NO,RS,HK,RU","PK","IQ","BS","9","27","Unvetted","NY","ISB","New York","JFK","US","PK-IS","PK","Islamabad","Science"
"889","100","Jannie Marye Smith","1997-10-15","Architectural technologist","Ghana","IS,GR,UZ,BZ","IS","GR","UZ","4","19","Unvetted","MN","KEF","Rochester","RST","US","IS-2","IS","Reykjavík","Information Technology"
"890","100","Kelly Yang","1979-11-08","Set designer","Ghana","PL,BN,UZ,KR,LK,QA,ES,MX,HU","PL","BN","UZ","9","37","Unvetted","IN","KTW","Fort Wayne","FWA","US","PL-SL","PL","Katowice","Arts"
"893","100","Teresa Glover","2000-12-28","Operational investment banker","Ghana","IS,RU,RU,HK,PE","IS","RU","RU","5","16","Unvetted","MA","KEF","Boston","BOS","US","IS-2","IS","Reykjavík","Finance"
"341","30","Melinda Kimm Hubbard","1980-01-16","Agricultural engineer","Brazil","IL,VN,UZ","IL","VN","UZ","3","37","Low Risk","AR","VDA","Fort Smith","FSM","US","IL-D","IL","Eilat","Engineering"
"344","30","Brandy Scott","1999-08-09","Field trials officer","Ghana","OM,CK,BH,CK,TW,IQ,TN","OM","CK","BH","7","17","Low Risk","FL","MCT","Panama City","PAM","US","OM-MA","OM","Muscat","Other"
"347","100","Elizabeth Ronnie Morris","1995-05-07","Surgeon","Ghana","RU","RU",,,"1","21","Unvetted","NC","LED","Raleigh/Durham","RDU","US","RU-SPE","RU","St. Petersburg","Medical"
"351","100","Desty Smith","1970-03-03","Primary school teacher","Ghana","TR,ES,KW,SG,RU,FI,KZ,BN,JM,PT","TR","ES","KW","10","47","Unvetted","CA","SAW","Marysville","BAB","US","TR-34","TR","Istanbul","Education"
"354","10","Jaccie Smith","2001-01-23","Fine artist","Ghana","KW,RU,BE,KY","KW","RU","BE","4","16","High Risk","AL","KWI","Mobile","MOB","US","KW-FA","KW","Kuwait City","Arts"
"357","100","Linda Scott","1988-09-26","Theatre manager","Ghana","PE,AE,EG","PE","AE","EG","3","28","Unvetted","FL","CUZ","Sarasota/Bradenton","SRQ","US","PE-CUS","PE","Cusco","Arts"
"361","100","Ashley Rhodes","1982-06-27","Sports coach","Ghana","NL,HK,ID,BY,LT,KW,IS,RU","NL","HK","ID","8","34","Unvetted","WA","MST","Seattle","SEA","US","NL-LI","NL","Maastricht","Sports/Travel"
"364","30","Veronica Breanna French","2001-05-26","Call centre manager","Ghana","RU","RU",,,"1","15","Low Risk","NC","KJA","Raleigh/Durham","RDU","US","RU-KYA","RU","Krasnoyarsk","Retail"
"367","100","Caitlin Moore","1973-09-08","Radio broadcast assistant","Ghana","CZ,QA","CZ","QA",,"2","43","Unvetted","TX","PRG","Del Rio","DLF","US","CZ-PR","CZ","Prague","Journalism"
"371","100","Ashley Beckis Frazier","1981-02-17","Civil Service administrator","Ghana","RU,HK","RU","HK",,"2","36","Unvetted","TN","SVX","Bristol/Johnson/Kingsport","TRI","US","RU-SVE","RU","Yekaterinburg","Government"
"374","100","Misty Joye Cook","1992-08-13","Automotive engineer","Ghana","VN,PK,RO,RO,SD,QA,KZ","VN","PK","RO","7","24","Unvetted","NC","SGN","Charlotte","CLT","US","VN-23","VN","Ho Chi Minh City","Engineering"
"377","100","Sarah Morse","1990-06-20","Technical author","Ghana","KY,TH,SI,ZA,PK,HR,RU,IT,KR,HR,UY,BH","KY","TH","SI","12","26","Unvetted","TN","GCM","Nashville","BNA","US","KY-U-A","KY","Georgetown","Journalism"
"381","100","Barb Renee Barton","1981-05-22","Technical sales engineer","Ghana","OM,PK","OM","PK",,"2","35","Unvetted","MS","MCT","Columbus","CBM","US","OM-MA","OM","Muscat","Engineering"
"384","100","Kelsey Jennifer Adams","1982-04-04","Firefighter","Ghana","QA,NO,BZ,AM,HU","QA","NO","BZ","5","34","Unvetted","IL","DOH","Springfield","SPI","US","QA-DA","QA","Doha","Government"
"387","30","Stephie Bright","1998-04-05","Social research officer, government","Ghana","AE","AE",,,"1","18","Low Risk","CA","DXB","Marysville","BAB","US","AE-DU","AE","Dubai","Government"
"391","100","Mandi Isa Hernandez","1982-09-03","Firefighter","Ghana","RU,KH,TH,SD","RU","KH","TH","4","34","Unvetted","OH","LED","Columbus","CMH","US","RU-SPE","RU","St. Petersburg","Government"
"394","100","Rane Camacho","1970-05-12","Visual merchandiser","Ghana","RU","RU",,,"1","46","Unvetted","LA","KJA","Monroe","MLU","US","RU-KYA","RU","Krasnoyarsk","Retail"
"397","100","Wendy Anna Franklin","1970-10-02","Biochemist, clinical","Ghana","NZ,BA,BR,FI,UY,LB,IQ,KW,AE","NZ","BA","BR","9","46","Unvetted","NM","CHC","Alamogordo","HMN","US","NZ-CAN","NZ","Christchurch","Science"
"402","30","Chris Guerra","1997-10-24","Editorial assistant","Ghana","KE,OM,PL","KE","OM","PL","3","19","Low Risk","NH","MBA","Manchester","MHT","US","KE-300","KE","Mombasa","Journalism"
"405","100","Missy Little","1971-08-09","Advertising account executive","Ghana","AE","AE",,,"1","45","Unvetted","CA","DXB","Ontario","ONT","US","AE-DU","AE","Dubai","Advertising"
"408","30","Tammie Pamela Bender","1997-12-12","Firefighter","Ghana","AL,CY,QA,BS","AL","CY","QA","4","19","Low Risk","TN","TIA","Nashville","BNA","US","AL-TR","AL","Tirana","Government"
"412","20","Wanda Christee Gillespie","1971-03-11","Industrial buyer","Ghana","OM,JP,BE","OM","JP","BE","3","46","Medium Risk","LA","MCT","Monroe","MLU","US","OM-MA","OM","Muscat","Other"
"415","100","Robin Hayden","1971-08-27","Librarian, academic","Ghana","QA,PH,NG,DE,HU,PE,CO","QA","PH","NG","7","45","Unvetted","NC","DOH","Raleigh/Durham","RDU","US","QA-DA","QA","Doha","Education"
"418","10","Karey Sarah Velasquez","2001-07-24","Nurse, learning disability","Ghana","PH,UZ,JO,OM,KG,CY","PH","UZ","JO","6","15","High Risk","IL","DVO","Bloomington/Normal","BMI","US","PH-DAV","PH","Davao City","Medical"
"422","100","Jaime Lambert","1984-12-12","Interior and spatial designer","Ghana","PT,DO,UY,DK,IQ,KG,GB,HR,OM","PT","DO","UY","9","32","Unvetted","FL","PDL","Fort Myers","RSW","US","PT-20","PT","Ponta Delgada","Construction"
"425","30","Ryba France Jackson","1999-11-21","Newspaper journalist","Ghana","QA,KG,SI,CO","QA","KG","SI","4","17","Low Risk","AL","DOH","Birmingham","BHM","US","QA-DA","QA","Doha","Journalism"
"428","100","Erin Newman","1993-08-17","Aeronautical engineer","Ghana","RU,BS,GB,TW,MY,PL,PL,SE","RU","BS","GB","8","23","Unvetted","AR","AER","Fort Smith","FSM","US","RU-KDA","RU","Sochi","Engineering"
"432","100","Sami Brandy Collins","1983-02-18","Building surveyor","Ghana","AE","AE",,,"1","34","Unvetted","VA","AUH","Newport News","PHF","US","AE-AZ","AE","Abu Dhabi","Construction"
"435","30","Pamela Brianna Blevins","1997-04-20","Museum/gallery curator","Ghana","RU","RU",,,"1","19","Low Risk","TX","KJA","Amarillo","AMA","US","RU-KYA","RU","Krasnoyarsk","Arts"
"438","100","Wendy Wilkinson","1994-06-04","Commercial/residential surveyor","Ghana","CZ,IL,RO,HU,KR,RU,LY,DK,RO","CZ","IL","RO","9","22","Unvetted","NC","PRG","Goldsboro","GSB","US","CZ-PR","CZ","Prague","Construction"
"442","100","Destin Lindsay Mcbride","1991-01-16","Surveyor, planning and development","Ghana","IL,TH,KG,JM,SD,QA","IL","TH","KG","6","26","Unvetted","KY","TLV","Louisville","SDF","US","IL-M","IL","Tel Aviv","Construction"
"445","30","Meghan Mata","1997-06-30","Games developer","Ghana","PL,AE,BG","PL","AE","BG","3","19","Low Risk","AK","KRK","Anchorage","ANC","US","PL-MA","PL","Kraków","Information Technology"
"448","30","Christina Lee","1999-01-18","Tourist information centre manager","Ghana","LT,CK,UZ","LT","CK","UZ","3","18","Low Risk","SC","VNO","Columbia","CAE","US","LT-VL","LT","Vilnius","Sports/Travel"
"1011","100","Janet Martinez","1980-12-08","Meteorologist","Ghana","QA","QA",,,"1","36","Unvetted","VA","DOH","Roanoke","ROA","US","QA-DA","QA","Doha","Science"
"1014","100","Nani Rodriguez","1970-09-28","Diplomatic Services operational officer","Ghana","IL,OM,BY","IL","OM","BY","3","46","Unvetted","TN","VDA","Memphis","MEM","US","IL-D","IL","Eilat","Government"
"1017","100","Melanie Mackenzie Anderson","2001-02-26","Programme researcher, broadcasting/film/video","Ghana","PE,AE,BG","PE","AE","BG","3","16","Unvetted","IN","LIM","Indianapolis","IND","US","PE-LIM","PE","Lima","Journalism"
"1021","100","Jul Webb","1988-07-06","Production assistant, television","Ghana","PT,BY,AU,QA,HU","PT","BY","AU","5","28","Unvetted","TX","OPO","Fort Worth","FTW","US","PT-13","PT","Porto","Arts"
"1024","100","Nancy Warren","1974-06-06","Geologist, wellsite","Ghana","NZ,UZ","NZ","UZ",,"2","42","Unvetted","NY","WLG","Syracuse","SYR","US","NZ-WGN","NZ","Wellington","Science"
"1027","100","Barbara Isa Nichols","1992-09-26","Journalist, newspaper","Ghana","PH,RU,IQ,TR,AT,SI,HK,OM,SI","PH","RU","IQ","9","24","Unvetted","NY","CGY","Buffalo","BUF","US","PH-MSR","PH","Cagayan de Oro City","Journalism"
"1031","100","Jennifer Sanchez","1993-09-02","Art therapist","Ghana","QA,HR,JP,KZ","QA","HR","JP","4","23","Unvetted","CA","DOH","San Francisco","SFO","US","QA-DA","QA","Doha","Medical"
"1034","100","Amy Jeni Bryan","1982-12-15","Event organiser","Ghana","ID,PE,UZ,CL,AT","ID","PE","UZ","5","34","Unvetted","GA","DPS","Savannah","SAV","US","ID-BA","ID","Denpasar-Bali Island","Sports/Travel"
"1037","100","Shannie Meghan Jimenez","1984-01-17","Contracting civil engineer","Ghana","GR,PK,NG,QA,CA,SA","GR","PK","NG","6","33","Unvetted","WA","HER","Tacoma","TCM","US","GR-91","GR","Heraklion","Engineering"
"1041","100","Laur Carter","1977-07-03","Barrister","Ghana","RU,BH","RU","BH",,"2","39","Unvetted","NC","VKO","Asheville","AVL","US","RU-MOS","RU","Moscow","Legal"
"1044","100","Tina Lori Keller","1986-11-13","Publishing rights manager","Ghana","CU,IL,BE,OM,ME,UZ,AM","CU","IL","BE","7","30","Unvetted","SC","HAV","Greenville","GSP","US","CU-03","CU","Havana","Journalism"
"1047","100","Heather Walker","1985-12-25","Environmental education officer","Ghana","BG,LB,CA,CA,RU,PA,AU,ES","BG","LB","CA","8","31","Unvetted","MD","BOJ","Baltimore","BWI","US","BG-02","BG","Burgas","Education"
"1051","100","Brittney Karen Anthony","1988-01-30","Applications developer","Ghana","OM,KR","OM","KR",,"2","29","Unvetted","IL","JNJ","Peoria","PIA","US","OM-WU","OM","Duqm","Information Technology"
"1054","100","Suse Thompson","1993-04-21","Designer, graphic","Ghana","QA","QA",,,"1","23","Unvetted","MO","DOH","Springfield","SGF","US","QA-DA","QA","Doha","Retail"
"1057","100","Tess Carolyn Ochoa","1979-05-24","Retail merchandiser","Ghana","GB,AE","GB","AE",,"2","37","Unvetted","FL","ABZ","Miami","MIA","US","GB-SCT","GB","Aberdeen","Retail"
"1061","100","Caitlin Mandi White","1974-02-01","Editor, magazine features","Ghana","HU,TN,GH,AL,JP,GH,AE,BR,TR","HU","TN","GH","9","43","Unvetted","LA","BUD","Bossier City","BAD","US","HU-PE","HU","Budapest","Journalism"
"1064","100","Sarah Jamie English","1970-12-19","Journalist, newspaper","Ghana","LV,KY,RU,GB,GB,KE,PT,DZ","LV","KY","RU","8","46","Unvetted","LA","RIX","Bossier City","BAD","US","LV-RIX","LV","Riga","Journalism"
"1067","100","Meghan Wallace","1974-06-13","Database administrator","Ghana","QA,LY,VN,BG","QA","LY","VN","4","42","Unvetted","FL","DOH","Orlando","SFB","US","QA-DA","QA","Doha","Information Technology"
"1071","20","Liny Hall","1993-06-12","Horticultural consultant","Ghana","BZ,UZ,UZ","BZ","UZ","UZ","3","23","Medium Risk","FL","BZE","Fort Lauderdale","FLL","US","BZ-BZ","BZ","Belize City","Other"
"1074","100","Christina Rodriguez","1971-03-27","Engineer, electrical","Ghana","PH,RU,CU,BR","PH","RU","CU","4","45","Unvetted","TX","CEB","Fort Worth","FTW","US","PH-CEB","PH","Lapu-Lapu City","Engineering"
"1077","100","Sadye Jenkins","1981-11-21","Lighting technician, broadcasting/film/video","Ghana","AE,CY","AE","CY",,"2","35","Unvetted","VA","AUH","Hampton","LFI","US","AE-AZ","AE","Abu Dhabi","Arts"
"1081","100","Angela Martin","1993-06-16","Engineer, chemical","Ghana","LY,QA,CL,FR,CU,EE,MT,AU","LY","QA","CL","8","23","Unvetted","FL","TIP","Miami","MIA","US","LY-TB","LY","Tripoli","Engineering"
"1084","100","Whitney Gordon","1974-03-11","Software engineer","Ghana","RU,NO,SD","RU","NO","SD","3","43","Unvetted","MA","DME","Boston","BOS","US","RU-MOS","RU","Moscow","Information Technology"
"2","30","Kelly Robbins","1971-01-17","Engineer, structural","Pakistan","UA,UZ,IS","UA","UZ","IS","3","46","Low Risk","OH","KBP","Cleveland","CLE","US","UA-32","UA","Kiev","Engineering"
"5","30","Erika Patie Fowler","1998-06-18","Geneticist, molecular","Ghana","IE,AE","IE","AE",,"2","18","Low Risk","IN","ORK","Fort Wayne","FWA","US","IE-C","IE","Cork","Science"
"8","30","Shell Chapman","1997-08-24","Writer","Ghana","KW,SA,JO,BE,KH,QA,KE,KZ","KW","SA","JO","8","19","Low Risk","TX","KWI","Del Rio","DLF","US","KW-FA","KW","Kuwait City","Journalism"
"10","100","Ashley Gibson","1986-04-06","Theatre manager","Ghana","IT,GR,DZ,LB,KR,BS,MY,PE,BS,UZ,JO","IT","GR","DZ","11","30","Unvetted","MO","FCO","St Louis","STL","US","IT-62","IT","Rome","Arts"
"13","100","Becky Cynthia Stanley","1993-11-05","Advertising account executive","Ghana","SK,QA,PK,AZ,RU","SK","QA","PK","5","23","Unvetted","FL","BTS","Tampa","TPA","US","SK-BL","SK","Bratislava","Advertising"
"16","100","Amanda Dinnie Young","1975-08-17","Paramedic","Ghana","TN,PA,RO,OM","TN","PA","RO","4","41","Unvetted","IL","TUN","Peoria","PIA","US","TN-11","TN","Tunis","Medical"
"19","10","Linda Miller","1997-02-13","Actor","Ghana","QA,SD,TN","QA","SD","TN","3","20","High Risk","CA","DOH","San Francisco","SFO","US","QA-DA","QA","Doha","Arts"
"20","100","Kari Denise Parrish","1981-06-03","Science writer","Ghana","AM,UA,PH,HU,AT,AU,SD,QA,PG","AM","UA","PH","9","35","Unvetted","MT","EVN","Billings","BIL","US","AM-ER","AM","Yerevan","Journalism"
"23","20","Kelly Smith","2000-06-01","Retail buyer","Ghana","BY,AE,OM,TW","BY","AE","OM","4","16","Medium Risk","TX","MSQ","Dallas","DAL","US","BY-MI","BY","Minsk","Retail"
"26","100","Christie Sellers","1981-09-02","Restaurant manager, fast food","Ghana","SA,SG,SK,QA","SA","SG","SK","4","35","Unvetted","TX","MED","Abilene","DYS","US","SA-03","SA","Medina","Retail"
"29","100","Sammy Odom","1987-09-23","Doctor, general practice","Ghana","RU,CL","RU","CL",,"2","29","Unvetted","TX","DME","Dallas-Fort Worth","DFW","US","RU-MOS","RU","Moscow","Medical"
"30","100","Beth Ramirez","1988-10-02","Forest/woodland manager","Ghana","EG,AE","EG","AE",,"2","28","Unvetted","NJ","CAI","Newark","EWR","US","EG-C","EG","Cairo","Construction"
"33","100","Kelly Cooper","1988-03-24","Dispensing optician","Ghana","AL,LB,CY,OM,AM,ES","AL","LB","CY","6","28","Unvetted","WV","TIA","Huntington","HTS","US","AL-TR","AL","Tirana","Medical"
"36","10","Jacqueline Andri Martinez","1999-06-26","Make","Ghana","GB,BZ,AE","GB","BZ","AE","3","17","High Risk","TN","LBA","Memphis","MEM","US","GB-ENG","GB","Leeds","Other"
"39","10","Monica Jessica Lopez","1999-09-18","Administrator, arts","Ghana","UZ,CU,HK,RU,NZ,AZ,DE,DZ,ET,PE,GR","UZ","CU","HK","11","17","High Risk","KY","TAS","Cincinnati","CVG","US","UZ-TO","UZ","Tashkent","Arts"
"40","10","Alison Mary Hall","2000-08-26","Therapist, nutritional","Ghana","IT,CZ,UZ,EC,AM,UZ,TR,LV,GB,BE,IQ,PT","IT","CZ","UZ","12","16","High Risk","IN","BLQ","Fort Wayne","FWA","US","IT-45","IT","Bologna","Medical"
"43","100","Sarah Kimme Miller","2000-06-07","Veterinary surgeon","Ghana","OM,DK,PH,CU,MX","OM","DK","PH","5","16","Unvetted","TX","JNJ","Corpus Christi","CRP","US","OM-WU","OM","Duqm","Medical"
"46","100","Whitney Cole","1982-11-17","Nurse, adult","Ghana","AM,CY,BR,CK,EG,AE,EC","AM","CY","BR","7","34","Unvetted","GA","EVN","Savannah","SAV","US","AM-ER","AM","Yerevan","Medical"
"49","100","Laura Heather Clark","1982-09-29","Administrator, arts","Ghana","GB,CZ,CN,IN,RU,AU,UA,GB,MY,GH,TH,UZ","GB","CZ","CN","12","34","Unvetted","IL","GLA","Moline","MLI","US","GB-SCT","GB","Glasgow","Arts"
"50","100","Carla Johnson","1988-04-19","Radiographer, therapeutic","Ghana","LV,MX,UZ,BY,SA,AE,SN","LV","MX","UZ","7","28","Unvetted","TX","RIX","Houston","HOU","US","LV-RIX","LV","Riga","Medical"
